59,	0,	233
118,	0,	233.2
177,	0,	233.5
236,	0,	233.7
295,	0,	233.9

59,	0,	192.2
118,	0,	192.2
177,	0,	192.2
236,	0,	192.5
295,	0,	193

59,	0,	151.5
118,	0,	151.5
177,	0,	151.5
236,	0,	152
295,	0,	152

59,	0,	111
118,	0,	111
177,	0,	111
236,	0,	111
295,	0,	111

59,	0,	70
118,	0,	70
177,	0,	70
236,	0,	70
295,	0,	70

59,	64,	0
118,	63.5,	0
177,	63.6,	0
236,	63.5,	0
295,	63,	0

59,	104.8,	0
118,	104.5,	0
177,	105,	0
236,	104.5,	0
295,	104,	0

59,	145.5,	0
118,	145.5,	0
177,	145.3,	0
236,	145,	0
295,	145,	0

59,	186,	0
118,	186,	0
177,	186,	0
236,	185.7,	0
295,	185.5,	0

59,	227,	0
118,	227,	0
177,	227,	0
236,	226.7,	0
295,	226.5,	0
